Table S14. Metadata of lichen-associated genomes used to find signatures of Starship horizontal transfer amongst lichen symbionts.								
Genome ID	Accession ID	Species	Genus	Class	Lifestyle	Host	Assembly Release Date	WGS project accession
alectoria.sarmentosa.1	GCA_964255965.1	Alectoria_sarmentosa	Alectoria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUYW01
alectoria.sarmentosa.2	GCA_009733775.1	Alectoria_sarmentosa	Alectoria	Lecanoromycetes	Lichen-forming	N/A	12/6/19	WOGZ01
alectoria.sarmentosa.3	GCA_904859925.1	Alectoria_sarmentosa	Alectoria	Lecanoromycetes	Lichen-forming	N/A	7/19/23	CAJHES01
alectoria.sarmentosa.4	GCA_904859945.1	Alectoria_sarmentosa	Alectoria	Lecanoromycetes	Lichen-forming	N/A	7/19/23	CAJHER01
alectoria.sp..1	GCA_937857905.1	Alectoria_sp.	Alectoria	Lecanoromycetes	Lichen-forming	N/A	1/12/23	CALEER01
anzia.colpodes.1	GCA_964254895.1	Anzia_colpodes	Anzia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXD01
aspicilia.laevata.1	GCA_964257315.1	Aspicilia_laevata	Aspicilia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVER01
bachmanniomyces.sp..1	GCA_022814255.1	Bachmanniomyces_sp.	Bachmanniomyces	Lecanoromycetes	Lichen-forming	N/A	4/4/22	JALDZF01
bachmanniomyces.sp..2	GCA_964257385.1	Bachmanniomyces_sp.	Bachmanniomyces	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVEI01
bacidia.gigantensis.1	GCA_019456465.1	Bacidia_gigantensis	Bacidia	Lecanoromycetes	Lichen-forming	N/A	8/6/21	JAHXPR01
bacidia.rubella.1	GCA_032158265.1	Bacidia_rubella	Bacidia	Lecanoromycetes	Lichen-forming	N/A	9/28/23	JAVTIF01
baeomycetales.sp..1	GCA_964255745.1	Baeomycetales_sp.	Baeomycetales_sp.	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUYN01
baeomycetales.sp..2	GCA_964254815.1	Baeomycetales_sp.	Baeomycetales_sp.	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUVC01
baeomycetales.sp..3	GCA_964257565.1	Baeomycetales_sp.	Baeomycetales_sp.	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVFJ01
baeomycetales.sp..4	GCA_964254865.1	Baeomycetales_sp.	Baeomycetales_sp.	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXO01
biatora.appalachensis.1	GCA_964256235.1	Biatora_appalachensis	Biatora	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVAA01
biatora.pontica.1	GCA_964255495.1	Biatora_pontica	Biatora	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWI01
blastenia.crenularia.1	GCA_051941205.1	Blastenia_crenularia	Blastenia	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEBG01
botryolepraria.lesdainii.1	GCA_964256435.1	Botryolepraria_lesdainii	Botryolepraria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVBJ01
brianaria.bauschiana.1	GCA_964255265.1	Brianaria_bauschiana	Brianaria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUXS01
brigantiaea.leucoxantha.1	GCA_051941505.1	Brigantiaea_leucoxantha	Brigantiaea	Lecanoromycetes	Lichen-forming	N/A	8/12/25	JAVEAU01
brigantiaea.leucoxantha.2	GCA_964254945.1	Brigantiaea_leucoxantha	Brigantiaea	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWT01
bryoria.fremontii.1	GCA_964254905.1	Bryoria_fremontii	Bryoria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUC01
bryoria.tenuis.1	GCA_964255205.1	Bryoria_tenuis	Bryoria	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUWM01
buellia.mamillana.1	GCA_964256085.1	Buellia_mamillana	Buellia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUZP01
buellia.spuria.1	GCA_964256355.1	Buellia_spuria	Buellia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVAG01
buellia.spuria.2	GCA_964256835.1	Buellia_spuria	Buellia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVDX01
buellia.stillingiana.1	GCA_964256125.1	Buellia_stillingiana	Buellia	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVAX01
bulbothrix.scortella.1	GCA_964256735.1	Bulbothrix_scortella	Bulbothrix	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXVCE01
byssoloma.meadii.1	GCA_964254735.1	Byssoloma_meadii	Byssoloma	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUQ01
byssoloma.subdiscordans.1	GCA_964254835.1	Byssoloma_subdiscordans	Byssoloma	Lecanoromycetes	Lichen-forming	N/A	9/21/24	CAXUUD01
