Orthogroup	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_SAMEA111342678
OG0000013	XANCAGTX0491_000132-T1	XANPAOZ2100_001132-T1
OG0000013	XANCAGTX0491_007246-T1	XANPAOZ2100_006289-T1
OG0000013	XANCAGTX0491_007248-T1	XANPAOZ2100_004009-T1
OG0000013	XANCAGTX0491_009822-T1	XANPAOZ2100_008570-T1
OG0000014	XANCAGTX0491_004370-T1, XANCAGTX0491_004370-T2	XANPAOZ2100_003785-T1
OG0000014	XANCAGTX0491_002084-T1	XANPAOZ2100_008410-T1
OG0000014	XANCAGTX0491_000814-T1	XANPAOZ2100_000518-T1
OG0000015	XANCAGTX0491_002932-T3, XANCAGTX0491_002932-T2	XANPAOZ2100_001661-T1
OG0000015	XANCAGTX0491_007761-T1	XANPAOZ2100_006771-T1
OG0000016	XANCAGTX0491_003416-T1	XANPAOZ2100_002730-T1
OG0000016	XANCAGTX0491_008401-T1, XANCAGTX0491_008171-T1, XANCAGTX0491_005756-T1, XANCAGTX0491_003348-T1, XANCAGTX0491_003347-T1	XANPAOZ2100_002036-T1
OG0000017	XANCAGTX0491_003357-T1	XANPAOZ2100_002044-T1
OG0000017	XANCAGTX0491_003356-T1	XANPAOZ2100_002042-T1
OG0000018	XANCAGTX0491_005596-T1	XANPAOZ2100_005110-T1
OG0000018	XANCAGTX0491_009963-T1	XANPAOZ2100_008685-T1
OG0000018	XANCAGTX0491_001449-T1	XANPAOZ2100_004584-T1
OG0000019	XANCAGTX0491_005715-T1	XANPAOZ2100_004998-T1
OG0000019	XANCAGTX0491_002497-T1	XANPAOZ2100_001254-T1
OG0000019	XANCAGTX0491_004167-T1	XANPAOZ2100_003981-T1
OG0000020	XANCAGTX0491_009348-T1	XANPAOZ2100_008762-T1
OG0000020	XANCAGTX0491_006126-T1	XANPAOZ2100_003338-T1
OG0000021	XANCAGTX0491_005563-T1	XANPAOZ2100_005138-T1
OG0000021	XANCAGTX0491_000189-T1	XANPAOZ2100_001077-T1
OG0000021	XANCAGTX0491_004902-T1	XANPAOZ2100_005730-T1
OG0000022	XANCAGTX0491_002651-T1	XANPAOZ2100_001397-T1
OG0000022	XANCAGTX0491_001247-T1	XANPAOZ2100_000123-T1
OG0000022	XANCAGTX0491_009628-T1	XANPAOZ2100_009028-T1
OG0000023	XANCAGTX0491_002029-T1	XANPAOZ2100_004056-T1
OG0000023	XANCAGTX0491_003157-T1	XANPAOZ2100_001855-T1
OG0000023	XANCAGTX0491_004715-T1, XANCAGTX0491_001317-T1	XANPAOZ2100_000068-T1
OG0000024	XANCAGTX0491_002016-T1	XANPAOZ2100_004069-T1
OG0000024	XANCAGTX0491_006074-T1	XANPAOZ2100_004658-T1
OG0000024	XANCAGTX0491_002919-T1	XANPAOZ2100_001649-T1
OG0000025	XANCAGTX0491_008844-T1	XANPAOZ2100_008050-T1
OG0000025	XANCAGTX0491_002101-T1	XANPAOZ2100_008393-T1
OG0000026	XANCAGTX0491_009754-T1	XANPAOZ2100_008506-T1
OG0000026	XANCAGTX0491_002472-T1	XANPAOZ2100_008064-T1
OG0000026	XANCAGTX0491_002702-T1	XANPAOZ2100_001441-T1
OG0000027	XANCAGTX0491_002695-T1	XANPAOZ2100_001434-T1
OG0000027	XANCAGTX0491_009253-T1	XANPAOZ2100_007672-T1
OG0000027	XANCAGTX0491_008359-T1	XANPAOZ2100_007190-T1
OG0000028	XANCAGTX0491_008738-T1	XANPAOZ2100_005538-T1
OG0000028	XANCAGTX0491_009795-T1	XANPAOZ2100_008543-T1
OG0000028	XANCAGTX0491_004825-T1, XANCAGTX0491_006000-T1	XANPAOZ2100_004726-T1
OG0000029	XANCAGTX0491_000713-T1	XANPAOZ2100_000607-T1
OG0000029	XANCAGTX0491_009906-T1	XANPAOZ2100_008637-T1
OG0000030	XANCAGTX0491_006221-T1	XANPAOZ2100_003257-T1
OG0000030	XANCAGTX0491_001730-T1	XANPAOZ2100_004333-T1
OG0000030	XANCAGTX0491_001730-T2	XANPAOZ2100_003258-T1
OG0000031	XANCAGTX0491_003407-T1	XANPAOZ2100_002739-T1
OG0000031	XANCAGTX0491_002162-T1	XANPAOZ2100_002740-T1, XANPAOZ2100_008337-T1, XANPAOZ2100_008336-T1
OG0000032	XANCAGTX0491_006105-T1	XANPAOZ2100_003358-T1
OG0000032	XANCAGTX0491_005490-T1	XANPAOZ2100_005195-T1
