ID,Species,Outgroup,Taxonomy,Source,Protein annotation,Reference
JOWA01,Scedosporium apiospermum,N,Ascomycota; Sordariomycetes; Microascales,NCBI,NCBI,Vandeputte et al. Genome announcements. 2014
JAKUDF01,Eutypa lata,N,Ascomycota; Sordariomycetes; Xylariales,NCBI,NCBI,Onetto et al. PLoS genetics. 2022
CAWUON01,Sporothrix epigloea,N,Ascomycota; Sordariomycetes; Ophiostomatales,NCBI,NCBI,Allen et al. GBE. 2025
JAPDRN01,Knufia peltigerae,N,Ascomycota; Eurotiomycetes; Chaetothyriales,NCBI,NCBI,"Kurbessoian,T. and Stajich,J.E."
JAPETQ01,Chaenotheca gracillima,N,Ascomycota; Lichinomycetes; Coniocybales,NCBI,NCBI,Diaz Escandon et al. Curr. Biol. 2022
JAJKKQ01,Hypoxylon rubiginosum,N,Ascomycota; Sordariomycetes; Xylariales,NCBI,NCBI,Franco et al. New Phytologist. 2022
APIU01,Stachybotrys chartarum,N,Ascomycota; Sordariomycetes; Hypocreales,NCBI,NCBI,Semeiks et al. BMC Genomics. 2014
JAFKAH01,Verticillium longisporum,N,Ascomycota; Sordariomycetes; Glomerellales,NCBI,NCBI,Harting et al. Molecular Plant Pathology. 2021
JBHFEH01,Lepraria finkii,N,Ascomycota; Lecanoromycetes; Lecanorales,NCBI,NCBI,Doellman et al. BMC genomics. 2024
JAPETU01,Geoglossum simile,N,Ascomycota; Lichinomycetes; Geoglossales,NCBI,NCBI,Diaz Escandon et al. Curr. Biol. 2022
JAAEIX01,Viridothelium virens,N,Ascomycota; Dothideomycetes; Trypetheliales,NCBI,NCBI,Haridas et al. Stud. Mycol. 2020
LGTZ01,Blastomyces percursus,N,Ascomycota; Eurotiomycetes; Onygenales,NCBI,NCBI,Dukik et al. Mycoses. 2017
JBBIWK01,Lipomyces starkeyi,N,Ascomycota; Lipomycetes; Lipomycetales,NCBI,NCBI,Czajka et al. Front Bioeng Biotechnol. 2024
